taxon_name,resprouting_binomial,seeding_binomial,min_maturity_primary,avg_maturity_primary,bin_maturity_primary,min_maturity_secondary,avg_maturity_secondary,resprouting_binomial_score,seeding_binomial_score,min_maturity_primary_score,avg_maturity_primary_score,bin_maturity_primary_score,min_maturity_secondary_score,avg_maturity_secondary_score,score_GM
Eurychorda,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Eurychorda complanata,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Euryomyrtus,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Euryomyrtus denticulata,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Euryomyrtus ramosissima,TRUE,TRUE,2.693798,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Euryomyrtus ramosissima subsp. prostrata,TRUE,NA,1,NA,1--5,NA,NA,0.2,NA,0.2,NA,0.2,NA,NA,0.2
Euryomyrtus ramosissima subsp. ramosissima,TRUE,NA,3,NA,1--5,NA,NA,0.2,NA,0.2,NA,0.2,NA,NA,0.2
Eustrephus,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Eustrephus latifolius,TRUE,TRUE,NA,NA,5--10,0.2906976744,NA,0.2,0.2,NA,NA,1,0.2,NA,0.2990697562
Eutaxia,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Eutaxia diffusa,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Eutaxia epacridoides,FALSE,NA,NA,2,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Eutaxia microphylla,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Eutaxia myrtifolia,FALSE,NA,NA,2,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Eutaxia parvifolia,FALSE,NA,NA,2,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Eutaxia virgata,FALSE,NA,NA,2,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Evandra aristata,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Evolvulus,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Evolvulus alsinoides,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Evolvulus alsinoides var. decumbens,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Evolvulus alsinoides var. villosicalyx,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Ewartia,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Ewartia meredithiae,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Ewartia nubigena,TRUE,FALSE,NA,NA,1--5,NA,NA,0.2,1,NA,NA,0.2,NA,NA,0.3419951893
Excoecaria parvifolia,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Exocarpos,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Exocarpos aphyllus,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Exocarpos cupressiformis,TRUE,TRUE,5,NA,5--20,1.182170543,NA,0.2,0.2,0.2,NA,1,0.2,NA,0.2759459323
Exocarpos humifusus,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Exocarpos latifolius,TRUE,TRUE,NA,NA,6--10,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Exocarpos nanus,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Exocarpos odoratus,TRUE,TRUE,NA,2,NA,NA,NA,0.2,0.2,NA,0.2,NA,NA,NA,0.2
Exocarpos sparteus,TRUE,TRUE,NA,1.5,4--5,NA,NA,0.2,0.2,NA,0.2,0.2,NA,NA,0.2
Exocarpos strictus,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Exocarpos syrticola,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Facelis retusa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NUM!
Fallopia convolvulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NUM!
Faradaya splendida,TRUE,NA,NA,NA,10--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Fatoua villosa,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Festuca asperula,TRUE,NA,2,NA,1--5,NA,1,0.2,NA,0.2,NA,0.2,NA,0.2,0.2
Festuca muelleri,TRUE,NA,1,NA,1--5,NA,NA,0.2,NA,0.2,NA,0.2,NA,NA,0.2
Festuca rubra,NA,NA,1,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,0.2
Ficinia,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Ficinia nodosa,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Ficus aculeata,TRUE,TRUE,NA,NA,6--10,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Ficus aculeata var. aculeata,TRUE,NA,NA,NA,6--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Ficus aculeata var. orbicularis MS,NA,NA,NA,NA,6--10,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Ficus adenosperma,TRUE,NA,NA,NA,6--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Ficus atricha,FALSE,NA,NA,NA,6--10,NA,NA,1,NA,NA,NA,1,NA,NA,1
Ficus benjamina,TRUE,NA,NA,NA,6--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Ficus brachypoda,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Ficus carpentariensis,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Ficus cerasicarpa,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Ficus congesta,TRUE,NA,NA,NA,4--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Ficus congesta var. congesta,TRUE,NA,NA,NA,4--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Ficus coronata,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Ficus coronulata,TRUE,NA,NA,NA,6--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Ficus henneana,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Ficus hispida,TRUE,NA,NA,NA,4--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Ficus leptoclada,TRUE,NA,NA,NA,0--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Ficus lilliputiana f. lilliputiana,FALSE,NA,NA,NA,4--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Ficus lilliputiana f. pilosa,FALSE,NA,NA,NA,4--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Ficus macrophylla,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Ficus obliqua,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Ficus opposita,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Ficus pantoniana,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Ficus platypoda,TRUE,TRUE,NA,NA,10--,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Ficus pleurocarpa,NA,NA,NA,NA,20--,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Ficus racemosa,TRUE,NA,NA,NA,6--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Ficus rubiginosa,TRUE,TRUE,3,NA,5--20,2.713178295,2.7,0.2,0.2,0.2,NA,1,0.2,0.2,0.2615320972
Ficus rubiginosa f. glabrescens,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Ficus scobina,TRUE,TRUE,NA,NA,6--10,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Ficus septica,TRUE,NA,NA,NA,0--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Ficus subpuberula,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Ficus variegata,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Ficus virens,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Ficus virens var. dasycarpa,FALSE,NA,NA,NA,10--,NA,NA,1,NA,NA,NA,1,NA,NA,1
Ficus virens var. virens,FALSE,NA,NA,NA,10--,NA,NA,1,NA,NA,NA,1,NA,NA,1
Ficus virgata,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Ficus watkinsiana,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Fieldia,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Fieldia australis,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Fimbristylis,NA,NA,NA,NA,0--1,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Fimbristylis acicularis,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis aestivalis,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Fimbristylis ammobia,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis arnhemensis,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis caespitosa,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Fimbristylis caloptera,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis cinnamometorum,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Fimbristylis complanata,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Fimbristylis densa,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis depauperata,NA,NA,NA,NA,0--1,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Fimbristylis dichotoma,TRUE,NA,NA,NA,0--1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Fimbristylis eremophila,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Fimbristylis furva,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis lanceolata,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis littoralis,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis macrantha,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Fimbristylis neilsonii,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Fimbristylis pachyptera,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis pallida,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis pauciflora,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis phaeoleuca,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis pterigosperma,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis punctata,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis recta,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis schultzii,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis sphaerocephala,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis tetragona,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Fimbristylis trachycarya,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis trigastrocarya,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fimbristylis velata,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Fimbristylis xyridis,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Flacourtia territorialis,TRUE,TRUE,NA,NA,6--10,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Flagellaria indica,TRUE,NA,NA,NA,5--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Flaveria,NA,NA,NA,NA,0--1,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Flaveria trinervia,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Flemingia lineata,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Flemingia parviflora,TRUE,TRUE,NA,NA,1,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Flemingia pauciflora,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Flemingia trifoliastrum,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Flemingia trifoliata,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Flindersia,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Flindersia bennettii,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Flindersia bourjotiana,NA,NA,NA,NA,5--10,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Flindersia brayleyana,TRUE,NA,NA,NA,0--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Flindersia dissosperma,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Flindersia maculosa,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Flindersia schottiana,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Floydia praealta,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Flueggea virosa,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Flueggea virosa subsp. melanthesoides,TRUE,TRUE,NA,NA,4--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Foeniculum vulgare,NA,NA,NA,NA,NA,0.9689922481,NA,NA,NA,NA,NA,NA,0.2,NA,0.2
Fontainea australis,FALSE,NA,10,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1
Franciscodendron laurifolium,NA,NA,NA,NA,10--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Frankenia,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Frankenia connata,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Frankenia cordata,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Frankenia crispa,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Frankenia cupularis,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Frankenia foliosa,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Frankenia gracilis,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Frankenia muscosa,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Frankenia pauciflora,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Frankenia pauciflora var. fruticulosa,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Frankenia pauciflora var. gunnii,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Frankenia punctata,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Frankenia serpyllifolia,FALSE,NA,NA,NA,2--3,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Frankenia sessilis,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Franklandia fucifolia,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Franklandia triaristata,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Freesia laxa,NA,NA,NA,NA,NA,0.7751937984,NA,NA,NA,NA,NA,NA,0.2,NA,0.2
Freesia leichtlinii subsp. leichtlinii x Freesia leichtlinii subsp. alba,NA,NA,NA,NA,NA,0.6395348837,NA,NA,NA,NA,NA,NA,0.2,NA,0.2
Freycinetia excelsa,FALSE,NA,NA,NA,10--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Freycinetia percostata,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Freycinetia scandens,NA,NA,NA,NA,10--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Fuirena ciliaris,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fuirena incrassata,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Fuirena umbellata,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Fumaria capreolata,NA,NA,0.2325581,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.2
Fumaria officinalis,NA,NA,0.2906977,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.2
Gahnia,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Gahnia ancistrophylla,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Gahnia aspera,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gahnia australis,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Gahnia clarkei,TRUE,NA,NA,NA,5--20,3.023255814,3,0.2,NA,NA,NA,1,1,0.2,0.4472135955
Gahnia decomposita,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Gahnia deusta,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gahnia erythrocarpa,TRUE,NA,3,NA,NA,1.763565891,NA,0.2,NA,0.2,NA,NA,0.2,NA,0.2
Gahnia filifolia,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Gahnia filum,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gahnia grandis,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gahnia lanigera,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Gahnia melanocarpa,TRUE,NA,NA,NA,5--20,2.015503876,2,0.2,NA,NA,NA,1,0.2,0.2,0.2990697562
Gahnia microstachya,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gahnia radula,TRUE,TRUE,2,NA,5--20,1.744186047,2,0.2,0.2,0.2,NA,1,0.2,0.2,0.2615320972
Gahnia rodwayi,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Gahnia sieberiana,TRUE,TRUE,2,NA,5--20,NA,2,0.2,0.2,0.2,NA,1,NA,0.2,0.2759459323
Gahnia subaequiglumis,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gahnia trifida,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Galactia megalophylla,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Galactia muelleri,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Galactia tenuiflora,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Galbulimima baccata,NA,NA,NA,NA,20--,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Galinsoga parviflora,NA,NA,0.2325581,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.2
Galium aparine,NA,NA,0.8527132,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.2
Galium australe,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Galium binifolium,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Galium bulliformis,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Galium ciliare,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Galium ciliare subsp. ciliare,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Galium compactum,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Galium curvihirtum,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Galium gaudichaudii,TRUE,NA,2,NA,1--5,NA,NA,0.2,NA,0.2,NA,0.2,NA,NA,0.2
Galium leiocarpum,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Galium liratum,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Galium migrans,TRUE,NA,NA,NA,0--1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Galium murale,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,0.2
Galium polyanthum,TRUE,NA,NA,NA,0--1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Galium roddii,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Gamochaeta americana,NA,NA,0.5192307692,NA,NA,0.1937984496,NA,NA,NA,0.2,NA,NA,0.2,NA,0.2
Gamochaeta coarctata,NA,NA,1,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.2
Gamochaeta pensylvanica,NA,NA,0.2884615385,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.2
Ganophyllum falcatum,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Gardenia dacryoides,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gardenia ewartii,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gardenia ewartii subsp. ewartii,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gardenia faucicola,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Gardenia fucata,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Gardenia jabiluka,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gardenia kakaduensis,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gardenia megasperma,TRUE,TRUE,NA,NA,10--,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Gardenia pyriformis,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gardenia pyriformis subsp. orientalis,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gardenia pyriformis subsp. pyriformis,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gardenia resinosa,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Gardenia resinosa subsp. resinosa,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gardenia schwarzii,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gastrodia,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Gastrodia procera,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gastrodia sesamoides,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Gastrodia vescula,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Gastrolobium bilobum,FALSE,NA,NA,2.666666667,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Gastrolobium brevipes,FALSE,TRUE,NA,NA,2--3,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Gastrolobium calycinum,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
