original_name,aligned_name,accepted_name,suggested_name,genus,taxon_rank,taxonomic_dataset,taxonomic_status,scientific_name_authorship,aligned_reason,update_reason,number_of_collapsed_taxa
Cymbidium canaliculatum,Cymbidium canaliculatum,Cymbidium canaliculatum,Cymbidium canaliculatum,Cymbidium,species,APC,accepted,R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Cymbidium madidum,Cymbidium madidum,Cymbidium madidum,Cymbidium madidum,Cymbidium,species,APC,accepted,Lindl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Cymbidium suave,Cymbidium suave,Cymbidium suave,Cymbidium suave,Cymbidium,species,APC,accepted,R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Cyperaceae,Cyperaceae sp. [Cyperaceae],NA,Cyperaceae sp. [Cyperaceae],NA,family,APC,family accepted,NA,Exact match of the first word of the taxon name to an APC-accepted family (2023-09-04),NA,NA
Darlingia darlingiana,Darlingia darlingiana,Darlingia darlingiana,Darlingia darlingiana,Darlingia,species,APC,accepted,(F.Muell.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Darwinia,Darwinia sp. [Darwinia],NA,Darwinia sp. [Darwinia],Darwinia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Datura,Datura sp. [Datura],NA,Datura sp. [Datura],Datura,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Daucus carota,Daucus carota,Daucus carota,Daucus carota,Daucus,species,APC,accepted,L.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Davesia,Daviesia sp. [Davesia],NA,Daviesia sp. [Davesia],Daviesia,genus,APC,genus accepted,NA,Fuzzy match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Davidsonia pruriens,Davidsonia pruriens,Davidsonia pruriens,Davidsonia pruriens,Davidsonia,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Daviesia,Daviesia sp. [Daviesia],NA,Daviesia sp. [Daviesia],Daviesia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Daviesia corymbosa,Daviesia corymbosa,Daviesia corymbosa,Daviesia corymbosa [alternative possible names: Daviesia leptophylla (pro parte misapplied) | Daviesia leptophylla (misapplied)],Daviesia,species,APC,accepted,Sm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Daviesia corymbosa var. virgata,Daviesia corymbosa var. virgata,Daviesia leptophylla,Daviesia leptophylla,Daviesia,variety,APC,accepted,A.Cunn. ex G.Don,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),taxonomic synonym,NA
Daviesia divaricata,Daviesia divaricata,Daviesia divaricata,Daviesia divaricata,Daviesia,species,APC,accepted,Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Daviesia latifolia,Daviesia latifolia,Daviesia latifolia,Daviesia latifolia,Daviesia,species,APC,accepted,R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Daviesia mimosoides,Daviesia mimosoides,Daviesia mimosoides,Daviesia mimosoides,Daviesia,species,APC,accepted,R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Daviesia polyphylla,Daviesia polyphylla,Daviesia polyphylla,Daviesia polyphylla [alternative possible names: Daviesia asperula subsp. asperula (pro parte misapplied)],Daviesia,species,APC,accepted,Benth. ex Lindl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Daviesia squarrosa,Daviesia squarrosa,Daviesia squarrosa,Daviesia squarrosa,Daviesia,species,APC,accepted,Sm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Daviesia umbellulata,Daviesia umbellulata,Daviesia umbellulata,Daviesia umbellulata,Daviesia,species,APC,accepted,Sm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Dendrobium adae,Dendrobium adae,Dendrobium adae,Dendrobium adae,Dendrobium,species,APC,accepted,F.M.Bailey,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Dendrobium kingianum,Dendrobium kingianum,Dendrobium kingianum,Dendrobium kingianum,Dendrobium,species,APC,accepted,Bidwill ex Lindl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Dendrobium lichenastrum,Dendrobium lichenastrum,Dockrillia lichenastrum,Dockrillia lichenastrum,Dockrillia,species,APC,accepted,(F.Muell.) Brieger,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),taxonomic synonym,NA
Dendrobium monophyllum,Dendrobium monophyllum,Dendrobium monophyllum,Dendrobium monophyllum,Dendrobium,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Dendrobium speciosum,Dendrobium speciosum,Dendrobium speciosum,Dendrobium speciosum,Dendrobium,species,APC,accepted,Sm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Dendrobium speciosum var. capricornicum,Dendrobium speciosum var. capricornicum,Dendrobium speciosum subsp. capricornicum,Dendrobium speciosum subsp. capricornicum,Dendrobium,variety,APC,accepted,(Clemesha) D.P.Banks & Clemesha,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Dendrobium speciosum var. grandiflorum,Dendrobium speciosum var. grandiflorum,Dendrobium speciosum subsp. grandiflorum,Dendrobium speciosum subsp. grandiflorum,Dendrobium,variety,APC,accepted,(F.M.Bailey) D.P.Banks & Clemesha,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Dendrobium speciosum var. hillii,Dendrobium speciosum var. hillii,Dendrobium speciosum subsp. hillii,Dendrobium speciosum subsp. hillii,Dendrobium,variety,APC,accepted,(Mast.) D.P.Banks & Clemesha,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Dendrobium speciosum var. pedunculatum,Dendrobium speciosum var. pedunculatum,Dendrobium speciosum subsp. pedunculatum,Dendrobium speciosum subsp. pedunculatum,Dendrobium,variety,APC,accepted,(Clemesha) D.P.Banks & Clemesha,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Dendrobium teretifolium,Dendrobium teretifolium,Dockrillia teretifolia,Dockrillia teretifolia,Dockrillia,species,APC,accepted,(R.Br.) Brieger,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Deschampsia,Deschampsia sp. [Deschampsia],NA,Deschampsia sp. [Deschampsia],Deschampsia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Dicrastylis,Dicrastylis sp. [Dicrastylis],NA,Dicrastylis sp. [Dicrastylis],Dicrastylis,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Dicrastylis flexuosa,Dicrastylis flexuosa,Dicrastylis flexuosa,Dicrastylis flexuosa,Dicrastylis,species,APC,accepted,(W.R.Price) C.A.Gardner,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Dicrastylis georgei,Dicrastylis georgei,Dicrastylis cordifolia,Dicrastylis cordifolia,Dicrastylis,species,APC,accepted,Munir,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),taxonomic synonym,NA
Dillwynia,Dillwynia sp. [Dillwynia],NA,Dillwynia sp. [Dillwynia],Dillwynia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Dillwynia brunioides,Dillwynia brunioides,Dillwynia brunioides,Dillwynia brunioides,Dillwynia,species,APC,accepted,Meisn.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Dillwynia floribunda,Dillwynia floribunda,Dillwynia floribunda,Dillwynia floribunda,Dillwynia,species,APC,accepted,Sm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Dillwynia floribunda var. teretifolia,Dillwynia floribunda var. teretifolia,Dillwynia floribunda,Dillwynia floribunda,Dillwynia,variety,APC,accepted,Sm.,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),taxonomic synonym,NA
Dillwynia glaberrima,Dillwynia glaberrima,Dillwynia glaberrima,Dillwynia glaberrima,Dillwynia,species,APC,accepted,Sm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Dillwynia peduncularis,Dillwynia peduncularis,Dillwynia retorta,Dillwynia retorta,Dillwynia,species,APC,accepted,(J.C.Wendl.) Druce,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),taxonomic synonym,NA
Dillwynia retorta,Dillwynia retorta,Dillwynia retorta,Dillwynia retorta,Dillwynia,species,APC,accepted,(J.C.Wendl.) Druce,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Dillwynia sericea,Dillwynia sericea,Dillwynia sericea,Dillwynia sericea,Dillwynia,species,APC,accepted,A.Cunn.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Dodonaea,Dodonaea sp. [Dodonaea],NA,Dodonaea sp. [Dodonaea],Dodonaea,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Dodonaea triquetra,Dodonaea triquetra,Dodonaea triquetra,Dodonaea triquetra,Dodonaea,species,APC,accepted,J.C.Wendl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa,Dodonaea,species,APC,accepted,Jacq.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Dodonea viscosa,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa,Dodonaea,species,APC,accepted,Jacq.,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Doryphora sassafras,Doryphora sassafras,Doryphora sassafras,Doryphora sassafras,Doryphora,species,APC,accepted,Endl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Drosera,Drosera sp. [Drosera],NA,Drosera sp. [Drosera],Drosera,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Drosera auriculata,Drosera auriculata,Drosera auriculata,Drosera auriculata,Drosera,species,APC,accepted,Backh. ex Planch.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Drosera binata,Drosera binata,Drosera binata,Drosera binata,Drosera,species,APC,accepted,Labill.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Drosera gunniana,Drosera gunniana,NA,Drosera gunniana,Drosera,species,APNI,unplaced,(Planch.) de Salas,Exact match of taxon name to an APNI-listed canonical name once punctuation and filler words are removed (2023-09-04),NA,NA
Drosera hookeri,Drosera hookeri,Drosera hookeri,Drosera hookeri,Drosera,species,APC,accepted,"R.P.Gibson, B.J.Conn & Conran",Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Drosera peltata,Drosera peltata,Drosera peltata,Drosera peltata [alternative possible names: Drosera hookeri (pro parte misapplied) | Drosera yilgarnensis (pro parte misapplied) | Drosera hookeri (misapplied) | Drosera yilgarnensis (misapplied)],Drosera,species,APC,accepted,Thunb.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Drosera whittakeri,Drosera whittakeri,Drosera whittakeri,Drosera whittakeri,Drosera,species,APC,accepted,Planch.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Dryandra arborea,Dryandra arborea,Banksia arborea,Banksia arborea,Banksia,species,APC,accepted,(C.A.Gardner) A.R.Mast & K.R.Thiele,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),basionym,NA
Dryandra cirsioides,Dryandra cirsioides,Banksia cirsioides,Banksia cirsioides,Banksia,species,APC,accepted,(Meisn.) A.R.Mast & K.R.Thiele,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),taxonomic synonym,NA
Drypetes deplanchei,Drypetes deplanchei,Drypetes deplanchei,Drypetes deplanchei,Drypetes,species,APC,accepted,(Brongn. & Gris) Merr.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Duranta,Duranta sp. [Duranta],NA,Duranta sp. [Duranta],Duranta,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Ecdeiocolea monostachya,Ecdeiocolea monostachya,Ecdeiocolea monostachya,Ecdeiocolea monostachya,Ecdeiocolea,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Elaeocarpus angustifolius,Elaeocarpus angustifolius,Elaeocarpus angustifolius,Elaeocarpus angustifolius [alternative possible names: Elaeocarpus grandis (pro parte misapplied)],Elaeocarpus,species,APC,accepted,Blume,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Elaeodendron australe,Elaeodendron australe,Elaeodendron australe,Elaeodendron australe,Elaeodendron,species,APC,accepted,Vent.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Elattostachys nervosa,Elattostachys nervosa,Elattostachys nervosa,Elattostachys nervosa,Elattostachys,species,APC,accepted,(F.Muell.) Radlk.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Epacris,Epacris sp. [Epacris],NA,Epacris sp. [Epacris],Epacris,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Epacris gunnii,Epacris gunnii,Epacris gunnii,Epacris gunnii,Epacris,species,APC,accepted,Hook.f.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Epacris microphylla,Epacris microphylla,Epacris microphylla,Epacris microphylla,Epacris,species,APC,accepted,R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Epacris obtusifolia,Epacris obtusifolia,Epacris obtusifolia,Epacris obtusifolia,Epacris,species,APC,accepted,Sm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Epacris paludosa,Epacris paludosa,Epacris paludosa,Epacris paludosa,Epacris,species,APC,accepted,R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Epacris petrophila,Epacris petrophila,Epacris petrophila,Epacris petrophila,Epacris,species,APC,accepted,Hook.f.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Epilobium gunnianum,Epilobium gunnianum,Epilobium gunnianum,Epilobium gunnianum,Epilobium,species,APC,accepted,Hausskn.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremaea pauciflora var. pauciflora,Eremaea pauciflora var. pauciflora,Eremaea pauciflora var. pauciflora,Eremaea pauciflora var. pauciflora,Eremaea,variety,APC,accepted,NA,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila,Eremophila sp. [Eremophila],NA,Eremophila sp. [Eremophila],Eremophila,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Eremophila alternifolia,Eremophila alternifolia,Eremophila alternifolia,Eremophila alternifolia,Eremophila,species,APC,accepted,R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila bignoniiflora,Eremophila bignoniiflora,Eremophila bignoniiflora,Eremophila bignoniiflora,Eremophila,species,APC,accepted,(Benth.) F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila crenulata,Eremophila crenulata,Eremophila crenulata,Eremophila crenulata,Eremophila,species,APC,accepted,Chinnock,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila dempsteri,Eremophila dempsteri,Eremophila dempsteri,Eremophila dempsteri,Eremophila,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila drummondii,Eremophila drummondii,Eremophila drummondii,Eremophila drummondii,Eremophila,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila freelingii,Eremophila freelingii,Eremophila freelingii,Eremophila freelingii,Eremophila,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila georgei,Eremophila georgei,Eremophila georgei,Eremophila georgei [alternative possible names: Eremophila flabellata (pro parte misapplied) | Eremophila simulans (pro parte misapplied) | Eremophila simulans subsp. lapidensis (pro parte misapplied)],Eremophila,species,APC,accepted,Diels,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Eremophila gilesii,Eremophila gilesii,Eremophila gilesii,Eremophila gilesii,Eremophila,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila glabra,Eremophila glabra,Eremophila glabra,Eremophila glabra,Eremophila,species,APC,accepted,(R.Br.) Ostenf.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila interstans subsp. interstans,Eremophila interstans subsp. interstans,Eremophila interstans subsp. interstans,Eremophila interstans subsp. interstans,Eremophila,subspecies,APC,accepted,NA,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila ionantha,Eremophila ionantha,Eremophila ionantha,Eremophila ionantha,Eremophila,species,APC,accepted,Diels,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila latrobei,Eremophila latrobei,Eremophila latrobei,Eremophila latrobei,Eremophila,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila leucophylla,Eremophila leucophylla,Eremophila forrestii,Eremophila forrestii,Eremophila,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),taxonomic synonym,NA
Eremophila longifolia,Eremophila longifolia,Eremophila longifolia,Eremophila longifolia,Eremophila,species,APC,accepted,(R.Br.) F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila maculata,Eremophila maculata,Eremophila maculata,Eremophila maculata,Eremophila,species,APC,accepted,(Ker Gawl.) F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila oppositifolia,Eremophila oppositifolia,Eremophila oppositifolia,Eremophila oppositifolia,Eremophila,species,APC,accepted,R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila oppositifolia subsp. angustifolia,Eremophila oppositifolia subsp. angustifolia,Eremophila oppositifolia subsp. angustifolia,Eremophila oppositifolia subsp. angustifolia,Eremophila,subspecies,APC,accepted,(S.Moore) Chinnock,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila paisleyi,Eremophila paisleyi,Eremophila paisleyi,Eremophila paisleyi,Eremophila,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila pantonii,Eremophila pantonii,Eremophila pantonii,Eremophila pantonii,Eremophila,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila polyclada,Eremophila polyclada,Eremophila polyclada,Eremophila polyclada,Eremophila,species,APC,accepted,(F.Muell.) F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila scoparia,Eremophila scoparia,Eremophila scoparia,Eremophila scoparia,Eremophila,species,APC,accepted,(R.Br.) F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila serrulata,Eremophila serrulata,Eremophila serrulata,Eremophila serrulata [alternative possible names: Eremophila gibbosa (pro parte misapplied)],Eremophila,species,APC,accepted,(A.Cunn. ex A.DC.) Druce,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Eremophila stenophylla,Eremophila stenophylla,Eremophila stenophylla,Eremophila stenophylla,Eremophila,species,APC,accepted,Chinnock,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila sturtii,Eremophila sturtii,Eremophila sturtii,Eremophila sturtii,Eremophila,species,APC,accepted,R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eremophila weldii,Eremophila weldii,Eremophila weldii,Eremophila weldii,Eremophila,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Erigeron floribundus,Erigeron floribundus,NA,Erigeron floribundus,Erigeron,species,APC,excluded,NA,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),excluded,NA
Erigeron paludicola,Erigeron paludicola,Pappochroma paludicola,Pappochroma paludicola,Pappochroma,species,APC,accepted,(S.J.Forbes) G.L.Nesom,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Erigeron setosus,Erigeron setosus,Pappochroma setosum,Pappochroma setosum,Pappochroma,species,APC,accepted,(Benth.) G.L.Nesom,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Eriostemon,Eriostemon sp. [Eriostemon],NA,Eriostemon sp. [Eriostemon],Eriostemon,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Eriostemon australasius,Eriostemon australasius,Eriostemon australasius,Eriostemon australasius,Eriostemon,species,APC,accepted,Pers.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eriostemon linearis,Eriostemon linearis,Philotheca linearis,Philotheca linearis,Philotheca,species,APC,accepted,(A.Cunn. ex Endl.) Paul G.Wilson,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Erythrophleum chlorostachys,Erythrophleum chlorostachys,Erythrophleum chlorostachys,Erythrophleum chlorostachys,Erythrophleum,species,APC,accepted,(F.Muell.) Baill.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus,Eucalyptus sp. [Eucalyptus],NA,Eucalyptus sp. [Eucalyptus],Eucalyptus,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-04),NA,NA
Eucalyptus ?calycogona,Eucalyptus calycogona,Eucalyptus calycogona,Eucalyptus calycogona,Eucalyptus,species,APC,accepted,Turcz.,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus acmenioides,Eucalyptus acmenioides,Eucalyptus acmenoides,Eucalyptus acmenoides,Eucalyptus,species,APC,accepted,Schauer,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),orthographic variant,NA
Eucalyptus acmenoides,Eucalyptus acmenoides,Eucalyptus acmenoides,Eucalyptus acmenoides,Eucalyptus,species,APC,accepted,Schauer,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus agglomerata,Eucalyptus agglomerata,Eucalyptus agglomerata,Eucalyptus agglomerata,Eucalyptus,species,APC,accepted,Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus alba,Eucalyptus alba,Eucalyptus alba,Eucalyptus alba,Eucalyptus,species,APC,accepted,Reinw. ex Blume,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus albens,Eucalyptus albens,Eucalyptus albens,Eucalyptus albens,Eucalyptus,species,APC,accepted,Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus amplifolia,Eucalyptus amplifolia,Eucalyptus amplifolia,Eucalyptus amplifolia,Eucalyptus,species,APC,accepted,Naudin,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus amygdalina,Eucalyptus amygdalina,Eucalyptus amygdalina,Eucalyptus amygdalina [alternative possible names: Eucalyptus falciformis (pro parte misapplied)],Eucalyptus,species,APC,accepted,Labill.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Eucalyptus andrewsii,Eucalyptus andrewsii,Eucalyptus andrewsii,Eucalyptus andrewsii,Eucalyptus,species,APC,accepted,Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
